step,fnr_male,fnr_female,delta_eo_fnr,disadvantaged_gender,penalty_gender0,penalty_gender1
17000,0.031743119266055046,0.029745529573590095,0.001997589692464951,0,0.0,0.0
17500,0.031366294524189264,0.0298432810936979,0.001523013430491365,0,0.0,0.0
18000,0.03247980752706651,0.03014993481095176,0.0023298727161147476,0,0.0,0.0
18500,0.032957793845636456,0.030625198349730244,0.0023325954959062117,0,0.0,0.0
19000,0.033502206242850135,0.031467989458998605,0.0020342167838515307,0,0.0,0.0
19500,0.03450479233226837,0.03186829784020541,0.002636494492062963,0,0.0,0.0
20000,0.03432209970492312,0.0312591722923393,0.0030629274125838213,0,0.0,0.0
20500,0.03372985996084927,0.03141135972461274,0.0023185002362365315,0,0.0,0.0
21000,0.03348376765176882,0.031333427005760854,0.002150340646007963,0,0.0,0.0
21500,0.03394181403308614,0.032134029112881074,0.0018077849202050647,0,0.0,0.0
22000,0.03400222965440357,0.032475407627004446,0.0015268220273991218,0,0.0,0.0
22500,0.03356528857961523,0.03209747150530591,0.0014678170743093188,0,0.0,0.0
23000,0.03298611111111111,0.03199280483104201,0.0009933062800690992,0,0.0,0.0
23500,0.033079548437910215,0.032110673943393835,0.0009688744945163807,0,0.0,0.0
24000,0.03309389430477168,0.03241491085899514,0.0006789834457765417,0,0.0,0.0
24500,0.03302659775620825,0.031977456505758395,0.0010491412504498518,0,0.0,0.0
25000,0.03284173999256414,0.031917446604271656,0.0009242933882924811,0,0.0,0.0
25500,0.033001698616840575,0.031503467732455624,0.0014982308843849504,0,0.0,0.0
26000,0.032972265206523035,0.03135485363878283,0.0016174115677402082,0,0.0,0.0
26500,0.03262888992104041,0.031153714481342007,0.0014751754396984049,0,0.0,0.0
27000,0.03305785123966942,0.031616982836495035,0.0014408684031743876,0,0.0,0.0
27500,0.033194083775544767,0.031566077581416024,0.0016280061941287421,0,0.0,0.0
28000,0.03287944204583195,0.03115059778435889,0.0017288442614730622,0,0.0,0.0
28500,0.03253182461103253,0.030857514075357296,0.001674310535675235,0,0.0,0.0
29000,0.03197271661515507,0.030448717948717948,0.0015239986664371229,0,0.0,0.0
29500,0.031508426672249554,0.02995270625328429,0.0015557204189652653,0,0.0,0.0
30000,0.03140121486667353,0.029705027004570003,0.0016961878621035258,0,0.0,0.0
30500,0.030804736102749346,0.029411764705882353,0.001392971396866994,0,0.0,0.0
31000,0.030620308178585538,0.028998595223760786,0.0016217129548247514,0,0.0,0.0
31500,0.030244654209208244,0.02892768079800499,0.0013169734112032545,0,0.0,0.0
32000,0.03011648830381665,0.02911479266738555,0.0010016956364310992,0,0.0,0.0
32500,0.029921700223713647,0.02886002886002886,0.0010616713636847873,0,0.0,0.0
33000,0.03003858166452324,0.02875459602149524,0.0012839856430280003,0,0.0,0.0
33500,0.030116668174007415,0.028446592916240587,0.0016700752577668287,0,0.0,0.0
34000,0.029893493242638503,0.028128119045458668,0.001765374197179835,0,0.0,0.0
34500,0.029900624395391786,0.027824846160706324,0.0020757782346854624,0,0.0,0.0
35000,0.029901196047841912,0.027906569853906046,0.0019946261939358667,0,0.0,0.0
35500,0.029804727646454265,0.02758029978586724,0.0022244278605870263,0,0.0,0.0
36000,0.029633350075339026,0.027558721275332824,0.002074628800006202,0,0.0,0.0
