step,fnr_male,fnr_female,delta_eo_fnr,disadvantaged_gender,penalty_gender0,penalty_gender1
500,0.04597701149425287,0.005319148936170213,0.04065786255808266,0,0.0,0.0
1000,0.028169014084507043,0.019230769230769232,0.008938244853737811,0,0.0,0.0
1500,0.027573529411764705,0.02154398563734291,0.006029543774421796,0,0.0,0.0
2000,0.03168044077134986,0.02194787379972565,0.009732566971624213,0,0.0,0.0
2500,0.03460207612456748,0.030716723549488054,0.0038853525750794232,0,0.0,0.0
3000,0.03732057416267943,0.032598274209012464,0.004722299953666964,0,0.0,0.0
3500,0.03820598006644518,0.030730897009966777,0.007475083056478406,0,0.0,0.0
4000,0.045746962115797,0.03025830258302583,0.01548865953277117,0,0.0,0.0
4500,0.04597701149425287,0.03266666666666666,0.01331034482758621,0,0.0,0.0
5000,0.046091015169194866,0.033136094674556214,0.012954920494638651,0,0.0,0.0
5500,0.0452155625657203,0.03304904051172708,0.012166522053993219,0,0.0,0.0
6000,0.043731778425655975,0.03303015797032073,0.010701620455335244,0,0.0,0.0
6500,0.04095409540954095,0.03089143865842895,0.010062656751112002,0,0.0,0.0
7000,0.039412997903563944,0.030227743271221533,0.009185254632342411,0,0.0,0.0
7500,0.038356164383561646,0.02876020209871745,0.009595962284844196,0,0.0,0.0
8000,0.037173352962826645,0.028706395348837208,0.008466957613989436,0,0.0,0.0
8500,0.037451872593629684,0.028767123287671233,0.008684749305958452,0,0.0,0.0
9000,0.037111334002006016,0.027472527472527472,0.009638806529478544,0,0.0,0.0
9500,0.03625954198473282,0.02787136294027565,0.008388179044457173,0,0.0,0.0
10000,0.036155468514612835,0.027389277389277388,0.008766191125335446,0,0.0,0.0
10500,0.03564184294407418,0.029722222222222223,0.005919620721851957,0,0.0,0.0
11000,0.034636871508379886,0.030206677265500796,0.00443019424287909,0,0.0,0.0
11500,0.0350924189659791,0.029336734693877552,0.00575568427210155,0,0.0,0.0
12000,0.03500129634430905,0.029865361077111383,0.0051359352671976645,0,0.0,0.0
12500,0.035140562248995984,0.029610631848915832,0.005529930400080152,0,0.0,0.0
13000,0.035265700483091786,0.02954341987466428,0.005722280608427506,0,0.0,0.0
13500,0.03450687806015388,0.028730703259005147,0.005776174801148733,0,0.0,0.0
14000,0.03399686870946097,0.02805486284289277,0.005942005866568199,0,0.0,0.0
14500,0.03357158327918562,0.028112449799196786,0.005459133479988835,0,0.0,0.0
15000,0.032992273961160994,0.02842125754331322,0.004571016417847774,0,0.0,0.0
15500,0.03310316815597075,0.029113448534936137,0.003989719621034615,0,0.0,0.0
16000,0.03202357563850688,0.029064486830154404,0.002959088808352474,0,0.0,0.0
16500,0.03204398938187334,0.02897014661720544,0.0030738427646678987,0,0.0,0.0
