policy,delta_eo_fnr,equalized_odds_diff,demographic_parity_escalation_diff,risk_gap
baseline,0.05540412603534048,0.055404126035340395,0.00026843613395557964,0.02296936791846335
proposed,0.003497071990088807,0.0034970719900888625,3.449946008594975e-05,0.0002829552046020867
